,sex,age,Medu,Fedu,traveltime,studytime,freetime,goout,G1,G2,G3,letter_grade
128,1.0,16.0,4,4.0,1.0,1.0,5.0,5.0,14.0,14.0,15.0,B
129,1.0,16.0,2,3.0,2.0,3.0,2.0,3.0,13.0,12.0,13.0,B
130,0.0,15.0,3,4.0,2.0,3.0,2.0,2.0,10.0,11.0,12.0,B
131,0.0,18.0,2,1.0,1.0,2.0,4.0,5.0,10.0,9.0,8.0,C
132,0.0,17.0,2,1.0,3.0,1.0,2.0,2.0,11.0,10.0,11.0,B
133,0.0,15.0,1,1.0,3.0,1.0,3.0,3.0,11.0,12.0,13.0,B
134,0.0,17.0,2,2.0,1.0,1.0,4.0,4.0,13.0,12.0,12.0,B
135,0.0,16.0,3,4.0,1.0,1.0,2.0,1.0,15.0,13.0,14.0,B
136,1.0,16.0,2,1.0,3.5,1.0,2.0,1.0,9.0,9.0,11.0,B
137,0.0,16.0,2,2.0,1.0,1.0,3.0,4.0,13.0,11.0,11.0,B
138,1.0,15.0,3,4.0,3.5,2.0,3.0,3.0,12.0,11.0,11.0,B
139,0.0,15.0,4,4.0,1.0,3.0,3.0,3.0,13.0,14.0,15.0,B
140,1.0,17.0,3,4.0,3.0,2.0,4.0,5.0,10.0,9.0,10.0,C
141,0.0,16.0,1,1.0,3.5,2.0,1.5,3.0,14.0,13.0,13.0,B
142,1.0,18.0,3,1.0,2.0,1.0,3.0,4.0,11.0,11.0,12.0,B
143,0.0,18.0,3,2.0,1.0,3.0,3.0,3.0,12.0,11.0,11.0,B
144,0.0,16.0,1,1.0,2.0,1.0,3.0,3.0,12.0,11.0,11.0,B
145,0.0,16.0,3,3.0,2.0,1.0,3.0,2.0,9.0,9.0,10.0,C
146,1.0,16.0,1,1.0,1.0,2.0,4.0,4.0,10.0,10.0,10.0,C
147,0.0,15.0,4,4.0,2.0,1.0,3.0,2.0,13.0,14.0,14.0,B
148,0.0,15.0,1,1.0,3.0,1.0,5.0,5.0,8.0,9.0,9.0,C
149,1.0,15.0,4,3.0,2.0,3.5,2.0,2.0,9.0,11.0,11.0,B
150,0.0,15.0,3,3.0,1.0,2.0,3.0,2.0,9.0,8.0,9.0,C
151,1.0,16.0,4,4.0,1.0,3.0,3.0,3.0,15.0,13.0,13.0,B
152,1.0,16.0,2,2.0,2.0,1.0,3.0,3.0,12.0,11.0,11.0,B
153,0.0,15.0,4,4.0,1.0,3.0,2.0,2.0,13.0,13.0,13.0,B
154,0.0,16.0,1,1.0,1.0,1.0,4.0,4.0,10.0,11.0,11.0,B
155,1.0,17.0,2,1.0,1.0,1.0,4.0,5.0,9.0,7.0,6.0,C
156,0.0,15.0,1,1.0,1.0,2.0,4.0,2.0,12.0,12.0,12.0,B
157,0.0,15.0,2,1.0,2.0,1.0,4.0,2.0,11.0,10.0,10.0,C
158,0.0,15.0,3,2.0,1.0,2.0,3.0,2.0,11.0,11.0,11.0,B
159,0.0,15.0,1,2.0,1.0,2.0,3.0,2.0,13.0,12.0,13.0,B
160,0.0,15.0,1,2.0,1.0,2.0,3.0,4.0,11.0,11.0,11.0,B
161,1.0,16.0,4,4.0,1.0,1.0,3.0,2.0,9.0,9.0,8.0,C
162,1.0,15.0,2,1.0,3.5,1.0,5.0,5.0,12.0,11.0,11.0,B
163,1.0,18.0,1,1.0,1.0,1.0,3.0,5.0,11.0,9.0,3.1000000000000005,D
164,1.0,16.0,2,1.0,1.0,1.0,4.0,4.0,9.0,10.0,10.0,C
165,0.0,15.0,3,3.0,2.0,3.0,2.0,1.0,13.0,13.0,13.0,B
166,1.0,18.5,3,2.0,1.0,1.0,5.0,4.0,11.0,9.0,11.0,B
167,0.0,17.0,4,4.0,1.0,1.0,2.0,1.0,13.0,13.0,13.0,B
168,1.0,15.0,2,3.0,1.0,2.0,4.0,4.0,7.0,8.0,8.0,C
169,1.0,17.0,1,2.0,1.0,1.0,2.0,2.0,9.0,8.0,10.0,C
170,0.0,18.0,1,1.0,3.0,1.0,2.0,5.0,11.0,10.0,11.0,B
171,1.0,16.0,2,2.0,3.0,1.0,2.0,2.0,12.0,10.0,11.0,B
172,1.0,16.0,3,3.0,1.0,2.0,5.0,5.0,10.0,10.0,3.1000000000000005,D
173,1.0,16.0,1,2.0,2.0,1.0,4.0,5.0,9.0,8.0,10.0,C
174,1.0,17.0,2,1.0,2.0,1.0,3.0,2.0,8.0,8.0,9.0,C
175,1.0,17.0,3,2.0,2.0,2.0,4.0,4.0,7.0,6.0,8.0,C
176,1.0,15.0,1,2.0,2.0,1.0,4.0,4.0,8.0,9.0,10.0,C
177,1.0,16.0,1,3.0,1.0,1.0,3.0,3.0,9.0,8.0,8.0,C
178,1.0,17.0,1,1.0,3.5,2.0,3.0,5.0,8.0,8.0,8.0,C
179,1.0,17.0,3,2.0,2.0,1.0,5.0,2.0,8.0,7.0,8.0,C
180,1.0,16.0,2,2.0,1.0,2.0,3.0,5.0,9.0,10.0,11.0,B
181,0.0,16.0,4,2.0,1.0,2.0,2.0,3.0,17.0,17.0,18.0,A
182,0.0,16.0,2,2.0,1.0,2.0,1.5,5.0,12.0,12.0,13.0,B
183,0.0,16.0,4,4.0,1.0,2.0,4.0,2.0,16.0,16.0,17.0,A
184,1.0,16.0,3,4.0,3.0,1.0,4.0,5.0,9.0,9.0,10.0,C
185,1.0,16.0,1,0.0,2.0,2.0,3.0,2.0,16.0,17.0,18.0,A
186,1.0,17.0,4,4.0,1.0,2.0,4.0,4.0,11.0,9.0,10.0,C
187,0.0,16.0,1,3.0,1.0,2.0,3.0,5.0,14.0,13.0,13.0,B
188,0.0,16.0,3,3.0,2.0,2.0,4.0,5.0,14.0,14.0,15.0,B
189,1.0,17.0,4,3.0,2.0,2.0,4.0,4.0,10.0,11.0,11.0,B
190,0.0,16.0,2,2.0,2.0,2.0,4.0,4.0,13.0,12.0,14.0,B
191,1.0,17.0,3,3.0,1.0,2.0,3.0,4.0,11.0,9.0,10.0,C
192,1.0,16.0,4,2.0,1.0,1.0,3.0,3.0,10.0,9.0,11.0,B
193,1.0,17.0,4,3.0,1.0,2.0,2.0,3.0,11.0,11.0,13.0,B
194,1.0,16.0,4,3.0,1.0,2.0,4.0,3.0,11.0,10.0,11.0,B
195,1.0,16.0,3,3.0,1.0,2.0,2.0,3.0,11.0,12.0,13.0,B
196,0.0,17.0,2,4.0,1.0,2.0,4.0,2.0,17.0,18.0,17.0,A
197,0.0,17.0,3,3.0,1.0,2.0,3.0,3.0,14.0,13.0,14.0,B
198,0.0,16.0,3,2.0,1.0,2.0,2.0,2.0,14.0,15.0,16.0,A
199,1.0,17.0,3,3.0,1.0,2.0,3.0,4.0,11.0,13.0,14.0,B
200,1.0,16.0,1,2.0,1.0,1.0,3.0,3.0,10.0,9.0,11.0,B
201,1.0,16.0,2,1.0,1.0,2.0,2.0,3.0,13.0,14.0,16.0,A
202,0.0,17.0,3,3.0,1.0,2.0,3.0,3.0,12.0,13.0,14.0,B
203,1.0,17.0,1,2.0,1.0,2.0,1.5,3.0,9.0,9.0,10.0,C
204,0.0,16.0,2,3.0,1.0,2.0,3.0,3.0,12.0,12.0,13.0,B
205,0.0,17.0,1,1.0,1.0,2.0,3.0,3.0,12.0,11.0,12.0,B
206,1.0,17.0,1,2.0,2.0,2.0,4.0,4.0,10.0,11.0,12.0,B
207,1.0,16.0,3,3.0,1.0,1.0,3.0,2.0,11.0,10.0,10.0,C
208,1.0,16.0,2,3.0,2.0,1.0,3.0,3.0,13.0,12.0,12.0,B
209,0.0,17.0,2,4.0,1.0,2.0,3.0,2.0,14.0,15.0,16.0,A
210,1.0,17.0,4,4.0,1.0,1.0,2.0,3.0,13.0,13.0,14.0,B
211,1.0,16.0,3,3.0,3.0,1.0,3.0,4.0,10.0,11.0,12.0,B
212,0.0,17.0,4,4.0,2.0,1.0,2.0,4.0,14.0,15.0,16.0,A
213,0.0,16.0,4,4.0,1.0,2.0,5.0,2.0,11.0,10.0,11.0,B
214,0.0,16.0,4,3.0,1.0,2.0,3.0,5.0,14.0,14.0,15.0,B
215,0.0,16.0,2,3.0,1.0,2.0,4.0,3.0,11.0,12.0,12.0,B
216,0.0,17.0,1,1.0,1.0,2.0,4.0,4.0,14.0,15.0,15.0,B
217,0.0,17.0,2,2.0,1.0,1.0,3.0,2.0,13.0,13.0,13.0,B
218,0.0,16.0,2,2.0,2.0,3.5,3.0,5.0,13.0,13.0,13.0,B
219,0.0,17.0,3,4.0,1.0,3.0,4.0,3.0,8.0,9.0,8.0,C
220,0.0,16.0,3,1.0,1.0,2.0,3.0,3.0,11.0,11.0,12.0,B
221,0.0,16.0,4,3.0,1.0,2.0,3.0,2.0,14.0,15.0,15.0,B
222,0.0,16.0,1,1.0,2.0,1.0,3.0,2.0,12.0,13.0,13.0,B
223,0.0,17.0,4,3.0,2.0,3.0,4.0,2.0,11.0,12.0,12.0,B
224,0.0,18.5,3,3.0,1.0,3.5,3.0,3.0,12.0,12.0,12.0,B
225,1.0,17.0,4,4.0,1.0,2.0,3.0,5.0,13.0,12.0,12.0,B
226,0.0,16.0,2,2.0,1.0,2.0,3.0,4.0,13.0,13.0,13.0,B
227,1.0,18.0,2,2.0,1.0,2.0,4.0,4.0,12.0,11.0,11.0,B
228,0.0,17.0,4,4.0,1.0,1.0,2.0,1.0,12.0,11.0,11.0,B
229,0.0,17.0,3,2.0,2.0,2.0,4.0,4.0,14.0,16.0,15.0,B
230,0.0,17.0,4,3.0,1.0,2.0,4.0,5.0,11.0,9.0,10.0,C
231,1.0,18.0,3,3.0,1.0,2.0,2.0,4.0,10.0,10.0,10.0,C
232,0.0,17.0,2,3.0,2.0,1.0,3.0,3.0,12.0,13.0,13.0,B
233,0.0,17.0,2,2.0,1.0,3.0,3.0,3.0,12.0,12.0,13.0,B
234,0.0,17.0,2,1.0,2.0,2.0,2.0,5.0,11.0,10.0,11.0,B
235,0.0,17.0,1,1.0,1.0,3.0,3.0,4.0,12.0,12.0,12.0,B
236,0.0,16.0,2,3.0,1.0,2.0,3.0,1.0,13.0,13.0,14.0,B
237,1.0,18.0,2,2.0,2.0,2.0,3.0,3.0,10.0,9.0,10.0,C
238,0.0,16.0,4,4.0,1.0,3.0,3.0,2.0,15.0,16.0,16.0,A
239,0.0,18.0,3,1.0,1.0,2.0,3.0,3.0,8.0,8.0,8.0,C
240,0.0,17.0,3,2.0,1.0,2.0,3.0,4.0,17.0,18.0,17.0,A
241,1.0,17.0,2,3.0,1.0,2.0,3.0,3.0,10.0,11.0,11.0,B
242,1.0,18.0,2,1.0,3.5,2.0,3.0,2.0,9.0,10.0,11.0,B
243,0.0,17.0,2,1.0,2.0,3.0,2.0,3.0,15.0,15.0,16.0,A
244,0.0,17.0,4,3.0,1.0,2.0,2.0,3.0,14.0,12.0,12.0,B
245,1.0,17.0,2,2.0,2.0,2.0,5.0,2.0,12.0,13.0,13.0,B
246,1.0,17.0,4,4.0,1.0,2.0,5.0,5.0,13.0,13.0,13.0,B
247,1.0,16.0,4,4.0,1.0,2.0,2.0,4.0,13.0,13.0,14.0,B
248,1.0,16.0,1,1.0,2.0,2.0,4.0,2.0,9.0,9.0,9.0,C
249,1.0,16.0,3,2.0,2.0,3.0,3.0,3.0,12.0,12.0,12.0,B
250,1.0,17.0,2,2.0,1.0,2.0,4.0,2.0,16.0,16.0,16.0,A
251,0.0,16.0,2,1.0,1.0,1.0,5.0,2.0,9.0,10.0,10.0,C
252,0.0,16.0,4,1.0,1.0,2.0,3.0,3.0,14.0,13.0,13.0,B
253,0.0,18.0,2,4.0,2.0,2.0,3.0,3.0,10.0,10.0,10.0,C
254,0.0,18.0,2,2.0,1.0,2.0,3.0,1.0,9.0,8.0,10.0,C
255,0.0,18.0,3,3.0,2.0,1.0,1.5,1.0,8.0,7.0,7.0,C
256,1.0,18.0,2,2.0,1.0,1.0,4.0,3.0,7.0,8.0,8.0,C
257,1.0,17.0,4,4.0,1.0,1.0,2.0,1.0,10.0,8.0,9.0,C
258,0.0,17.0,3,2.0,1.0,2.0,4.0,2.0,14.0,14.0,15.0,B
259,0.0,17.0,1,1.0,1.0,3.0,3.0,2.0,11.0,10.0,10.0,C
260,0.0,16.0,1,2.0,1.0,1.0,3.0,5.0,12.0,11.0,11.0,B
261,0.0,17.0,2,1.0,3.0,2.0,1.5,1.0,13.0,13.0,13.0,B
262,0.0,17.0,1,4.0,3.5,1.0,5.0,4.0,9.0,9.0,8.0,C
263,1.0,18.0,2,2.0,1.0,2.0,5.0,4.0,8.0,7.0,8.0,C
264,0.0,17.0,2,2.0,1.0,1.0,1.5,2.0,11.0,9.0,10.0,C
265,0.0,17.0,1,1.0,2.0,3.0,3.0,3.0,15.0,14.0,15.0,B
266,0.0,17.0,4,2.0,1.0,2.0,3.0,2.0,15.0,14.0,14.0,B
267,1.0,17.0,4,3.0,2.0,2.0,5.0,5.0,15.0,15.0,15.0,B
268,1.0,17.0,4,4.0,2.0,2.0,3.0,3.0,12.0,12.0,12.0,B
269,1.0,16.0,4,3.0,1.0,1.0,4.0,5.0,14.0,14.0,15.0,B
270,1.0,16.0,4,4.0,1.0,1.0,3.0,2.0,14.0,15.0,15.0,B
271,0.0,17.0,4,4.0,1.0,2.0,3.0,1.0,11.0,11.0,12.0,B
272,1.0,17.0,1,1.0,2.0,3.0,3.0,3.0,13.0,14.0,15.0,B
273,0.0,17.0,3,3.0,2.0,3.0,2.0,2.0,11.0,11.0,11.0,B
274,0.0,17.0,1,1.0,1.0,2.0,3.0,2.0,10.0,9.0,10.0,C
275,0.0,18.0,2,1.0,2.0,3.0,4.0,4.0,12.0,10.0,11.0,B
276,1.0,16.0,2,1.0,3.0,1.0,3.0,3.0,15.0,16.0,16.0,A
277,0.0,17.0,1,1.0,1.0,2.0,3.0,4.0,11.0,10.0,11.0,B
278,1.0,17.0,2,3.0,2.0,1.0,2.0,2.0,9.0,12.0,13.0,B
279,1.0,18.5,3,1.0,1.0,1.0,4.0,5.0,7.0,8.0,5.0,D
280,1.0,18.0,3,3.0,1.0,2.0,3.0,3.0,10.0,9.0,10.0,C
281,1.0,16.0,0,2.0,1.0,1.0,3.0,2.0,11.0,12.0,11.0,B
282,1.0,18.0,3,2.0,2.0,1.0,4.0,5.0,7.0,8.0,7.0,C
283,1.0,16.0,3,3.0,3.0,2.0,3.0,3.0,9.0,11.0,10.0,C
284,1.0,18.0,2,1.0,1.0,1.0,2.0,5.0,7.0,8.0,6.0,C
285,1.0,16.0,2,1.0,2.0,1.0,3.0,2.0,14.0,13.0,12.0,B
286,1.0,17.0,2,1.0,1.0,1.0,4.0,2.0,12.0,12.0,13.0,B
287,1.0,17.0,1,1.0,2.0,1.0,4.0,4.0,9.0,10.0,10.0,C
288,0.0,18.0,2,1.0,1.0,2.0,3.0,4.0,12.0,12.0,13.0,B
289,0.0,17.0,4,2.0,1.0,3.5,2.0,3.0,14.0,15.0,17.0,A
290,0.0,18.5,2,2.0,1.0,2.0,3.0,3.0,10.0,10.0,11.0,B
291,1.0,18.0,2,1.0,3.0,2.0,4.0,5.0,11.0,10.0,11.0,B
292,0.0,17.0,4,2.0,1.0,3.0,3.0,4.0,11.0,12.0,14.0,B
293,0.0,18.0,1,1.0,1.0,3.0,4.0,3.0,11.0,12.0,14.0,B
294,0.0,18.0,2,2.0,1.0,2.0,2.0,3.0,11.0,11.0,13.0,B
295,1.0,18.5,4,3.0,1.0,2.0,3.0,1.0,11.0,13.0,14.0,B
296,1.0,18.0,2,1.0,1.0,2.0,2.0,4.0,16.0,16.0,16.0,A
297,1.0,17.0,2,2.0,2.0,1.0,2.0,2.0,9.0,10.0,10.0,C
298,0.0,17.0,2,2.0,1.0,3.5,4.0,1.0,10.0,11.0,12.0,B
299,0.0,18.5,2,1.0,2.0,2.0,2.0,3.0,10.0,12.0,12.0,B
300,0.0,18.0,4,3.0,1.0,2.0,1.5,2.0,15.0,15.0,15.0,B
301,1.0,18.0,4,3.0,1.0,2.0,3.0,2.0,10.0,10.0,11.0,B
